percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_below_poverty,percentile_rank_per_capita_income,median_household_income,percentile_rank_no_highschool_diploma,percent_frequent_physical_distress,average_number_of_physically_unhealthy_days,percent_smokers,percent_fair_or_poor_health,percent_below_poverty,percentile_rank_per_capita_income,percentile_rank_social_vulnerability,per_capita_income,percent_frequent_mental_distress,average_number_of_mentally_unhealthy_days
0.7268,12.950226332,18.565702742,17.239174778,20.0,0.7526,0.8682,43972.0,0.7268,12.950226332,4.1897281913999995,18.565702742,17.239174778,20.0,0.8682,0.8704,19233.0,13.736653489000002,4.4950636853
0.4664,12.817960274,15.914126635,16.198657248,18.4,0.6705,0.43200000000000005,46426.0,0.4664,12.817960274,4.1869712754,15.914126635,16.198657248,18.4,0.43200000000000005,0.4155,25195.0,13.238765795,4.254176505299999
0.7221,12.466821962000001,16.834797645,15.711321274000001,16.6,0.5613,0.6549,44693.0,0.7221,12.466821962000001,4.0440650891,16.834797645,15.711321274000001,16.6,0.6549,0.5301,22278.0,13.211704835,4.2244350944999995
0.6679,14.27603764,19.243701566,21.712093396999997,20.2,0.7599,0.7405,43569.0,0.6679,14.27603764,4.47792317,19.243701566,21.712093396999997,20.2,0.7405,0.8001,21149.0,14.428715777999999,4.4862055779
0.3292,11.304559399,13.91919475,15.35144379,14.2,0.4043,0.0697,64509.0,0.3292,11.304559399,3.5280945631,13.91919475,15.35144379,14.2,0.0697,0.5088,34091.0,11.88356949,3.7573152060000004
0.7482,12.240295265999999,15.701850892000001,15.947190595999999,18.0,0.6479,0.6667,43967.0,0.7482,12.240295265999999,4.0068555682,15.701850892000001,15.947190595999999,18.0,0.6667,0.5489,22130.0,12.893023705,4.1346984572
0.9134,13.685716812999999,17.544425581,19.899421093,21.9,0.8223,0.8223,47757.0,0.9134,13.685716812999999,4.3582390151,17.544425581,19.899421093,21.9,0.8223,0.9507,20007.0,13.692964681,4.2708547029
0.3292,11.493134805,14.276149569000001,15.077361990999998,14.6,0.4285,0.1697,59471.0,0.3292,11.493134805,3.7466326082999997,14.276149569000001,15.077361990999998,14.6,0.1697,0.4101,29679.0,12.299816387,3.9907644559
0.6479,13.039605515999998,18.299857696,19.674727936,17.4,0.6097,0.5119,50122.0,0.6479,13.039605515999998,4.2129232738999995,18.299857696,19.674727936,17.4,0.5119,0.8606,24106.0,13.065973554000001,4.1377069969999996
0.1356,12.168624726,15.852352644000002,15.825482193,17.7,0.6291,0.1423,53419.0,0.1356,12.168624726,3.9357727244,15.852352644000002,15.825482193,17.7,0.1423,0.4043,30375.0,13.170120954000001,4.2683146795999996
0.8609,14.860908542999999,19.471204783,23.455464518000003,28.5,0.9526,0.8886,37233.0,0.8609,14.860908542999999,4.6825244599,19.471204783,23.455464518000003,28.5,0.8886,0.951,18836.0,14.490212525,4.455588585
0.2286,12.435918538,17.795532165,18.047138427,13.9,0.3852,0.6301,50531.0,0.2286,12.435918538,4.0676679281,17.795532165,18.047138427,13.9,0.6301,0.7256,22590.0,12.695751477,4.1401958215
0.1296,11.252064064,14.241707251,14.291492143,14.5,0.4212,0.0372,71920.0,0.1296,11.252064064,3.6831402616,14.241707251,14.291492143,14.5,0.0372,0.2945,37103.0,11.656032773,3.7300769556
0.5291,12.593127015,15.961985424000002,17.511145131,14.5,0.4212,0.4925,46447.0,0.5291,12.593127015,4.0855335459,15.961985424000002,17.511145131,14.5,0.4925,0.6714,24332.0,12.843313499999999,4.125336658
